rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
