rapidez, referencia, tiempo, pid,-0.05,0.4,1.50544905663,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.57209801674,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.58516001701,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.59834289551,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.60986399651,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.62209296227,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.63514494896,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.64703893661,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.65922188759,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.6720969677,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.68496203423,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.69689393044,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.70917487144,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.72178387642,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.73445701599,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.74685096741,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.75948405266,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.7721619606,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.7847878933,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.79650402069,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.80918908119,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.82178592682,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.8346619606,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.84585595131,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.8591940403,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.87160491943,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.8835439682,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.89572691917,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.90887904167,100,
rapidez, referencia, tiempo, pid,-0.05,0.4,1.92166495323,100,
rapidez, referencia, tiempo, pid,0.065128264872,0.4,1.93016505241,100,
rapidez, referencia, tiempo, pid,0.065128264872,0.4,1.94313788414,100,
rapidez, referencia, tiempo, pid,0.065128264872,0.4,1.95574998856,100,
rapidez, referencia, tiempo, pid,0.065128264872,0.4,1.96790289879,100,
rapidez, referencia, tiempo, pid,0.065128264872,0.4,1.9803109169,100,
rapidez, referencia, tiempo, pid,0.065128264872,0.4,1.99308109283,100,
rapidez, referencia, tiempo, pid,0.065128264872,0.4,2.00489592552,100,
rapidez, referencia, tiempo, pid,0.065128264872,0.4,2.01777291298,100,
rapidez, referencia, tiempo, pid,0.065128264872,0.4,2.03025507927,100,
